Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Ordered_Date_Year,Ordered_Date_Month,Ordered_Date_Day,Time_OrderPicked_hours,Time_OrderPicked_mins,Time_Orderd_hours,Time_Orderd_mins,Time_taken (min),Distance_covered
32.0,4.0,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,18,18,55,18,45,36,17.29786575291325
37.0,4.9,Fog,Medium,1,scooter,0.0,No,Urban,2022,3,9,17,40,17,25,15,7.573467821949916
29.0,4.5,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,31,19,10,19,35,37,13.406000552536868
35.0,4.7,Sunny,Jam,2,motorcycle,1.0,No,Metropolitian,2022,2,13,21,40,21,25,20,4.682100175479253
37.0,4.5,Fog,Medium,2,electric_scooter,0.0,No,Urban,2022,3,7,15,30,15,15,19,6.081142187746012
31.0,5.0,Cloudy,Low,2,scooter,0.0,No,Metropolitian,2022,3,17,22,25,22,10,16,9.327055824816654
24.0,4.7,Windy,Jam,2,scooter,1.0,No,Metropolitian,2022,4,4,20,25,20,20,18,10.70546847853061
22.0,4.3,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,3,8,15,8,10,29,1.5545440228107197
25.0,4.9,Windy,Jam,2,scooter,0.0,No,,2022,3,4,20,35,20,25,15,10.868667520702992
26.0,4.8,Windy,Low,2,scooter,0.0,No,Metropolitian,2022,3,26,19,35,9,50,14,3.025332706173566
32.0,3.5,Fog,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,6,23,35,23,25,35,12.257021346006622
32.0,4.2,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,19,8,35,8,20,22,1.5580739318105787
36.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,24,9,15,9,10,28,3.025332706173566
24.0,4.6,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,2022,2,18,20,30,20,15,38,13.18448443739038
37.0,4.5,Fog,Low,2,scooter,1.0,No,Metropolitian,2022,3,15,23,40,23,35,17,4.674333788013509
36.0,4.9,Sunny,Low,1,scooter,1.0,No,Metropolitian,2022,3,31,23,30,23,15,24,12.098761963862447
32.0,4.9,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,4,19,35,19,35,27,10.90625737157066
36.0,4.9,Stormy,Medium,1,motorcycle,,No,Metropolitian,2022,3,19,17,40,17,25,25,7.562317945109334
,,Windy,Jam,1,motorcycle,1.0,No,Urban,2022,3,2,19,40,19,35,21,14.15280068944862
26.0,4.6,Windy,Low,1,scooter,1.0,No,Metropolitian,2022,3,29,22,40,22,35,16,11.916606438888204
,,Windy,Jam,2,motorcycle,1.0,No,Metropolitian,2022,3,18,21,35,19,35,43,17221.061592486167
35.0,4.8,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,2022,3,30,19,50,19,45,19,9.075387359616569
22.0,4.6,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,2022,3,8,18,25,18,10,12,10.90628903651029
35.0,4.9,Sandstorms,Low,2,scooter,0.0,No,Metropolitian,2022,3,26,9,45,9,30,20,3.108988329765785
,,Sunny,Low,1,scooter,1.0,No,,2022,2,13,19,35,19,35,19,7.726661980358243
34.0,4.6,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,2022,4,1,12,25,12,10,27,6.116387229265562
38.0,4.9,Windy,Low,2,electric_scooter,1.0,No,Metropolitian,2022,3,25,19,35,22,45,23,17.097651549864548
20.0,4.4,Fog,Jam,2,electric_scooter,1.0,No,Metropolitian,2022,2,14,22,5,21,55,34,14.15280068944862
36.0,4.3,Stormy,High,2,scooter,1.0,No,Metropolitian,2022,2,11,19,35,11,45,31,3.121123240711662
25.0,4.8,Sunny,Low,0,motorcycle,0.0,No,Urban,2022,3,26,9,5,19,35,14,3.025279772423236
24.0,4.7,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,2022,4,5,8,55,8,40,18,1.4898424937942714
36.0,4.9,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,2022,3,25,20,35,20,30,15,19.618645096414923
24.0,4.9,Cloudy,Jam,2,electric_scooter,1.0,No,Metropolitian,2022,2,15,21,45,21,35,29,7.803047130084789
38.0,4.8,Fog,Medium,2,motorcycle,2.0,Yes,Metropolitian,2022,2,18,17,30,17,15,40,16.153452506169636
,,Stormy,Low,2,scooter,0.0,No,Metropolitian,2022,2,16,22,45,19,35,24,12.58026782240096
37.0,4.6,Stormy,Low,1,motorcycle,0.0,No,Metropolitian,2022,2,14,23,10,22,55,22,10.417061581463946
22.0,4.7,Windy,Jam,2,motorcycle,0.0,No,Metropolitian,2022,3,16,20,55,20,45,23,16.388478196037884
35.0,4.5,Windy,Jam,1,scooter,0.0,No,Metropolitian,2022,3,5,20,25,20,10,30,9.193021332844554
36.0,4.6,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,2022,4,5,21,50,21,40,23,9.220397882984718
23.0,4.9,Cloudy,Low,1,scooter,0.0,No,Metropolitian,2022,2,13,22,25,22,20,10,7.4610873930932415
23.0,4.8,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,2022,2,16,19,35,20,55,45,17.29786575291325
22.0,4.6,Sandstorms,Jam,0,motorcycle,0.0,No,Metropolitian,2022,3,16,22,10,21,55,25,13.680987399157162
23.0,4.8,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,24,19,5,18,55,13,4.537513326842717
33.0,4.9,Cloudy,Medium,0,motorcycle,0.0,Yes,Metropolitian,2022,3,6,18,35,18,25,41,13.82967763210672
20.0,4.8,Sunny,Low,0,motorcycle,1.0,No,Urban,2022,3,17,23,40,23,30,13,4.610471743046499
20.0,5.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,15,21,10,20,55,35,4.610365144357059
23.0,4.8,Cloudy,High,1,motorcycle,1.0,No,Metropolitian,2022,3,7,11,25,11,15,33,1.5148048951935007
33.0,4.4,Fog,High,1,motorcycle,1.0,No,Metropolitian,2022,3,13,13,45,13,30,36,6.210061176100267
38.0,4.9,Cloudy,Low,2,motorcycle,0.0,No,Metropolitian,2022,3,18,19,35,19,35,28,14.15280068944862
35.0,4.3,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,2022,3,2,18,55,18,40,37,10.72467208673564
33.0,5.0,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,11,18,50,18,45,33,4.656649028065795
31.0,4.9,Sunny,Low,2,electric_scooter,1.0,No,Metropolitian,2022,2,15,9,40,9,35,19,3.020135360999984
25.0,5.0,Fog,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,30,10,55,10,40,17,1.5368503798521729
,,Sandstorms,High,2,scooter,1.0,No,Urban,2022,3,26,14,40,19,35,22,6.116927321899057
26.0,4.7,Fog,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,15,9,25,9,20,17,3.105095437473336
37.0,4.7,Sunny,Medium,2,scooter,0.0,No,Metropolitian,2022,2,11,15,15,15,10,22,6.290134677634678
32.0,4.8,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,31,17,35,17,30,47,20.177519993018656
39.0,4.8,Sandstorms,Jam,2,electric_scooter,0.0,No,Metropolitian,2022,3,11,21,55,21,45,26,7.772466272035551
30.0,4.5,Fog,Jam,2,scooter,1.0,No,Urban,2022,3,17,19,30,19,15,27,8.936297424957562
29.0,4.9,Cloudy,Low,2,scooter,1.0,No,Urban,2022,3,23,23,40,23,30,26,10.586824027282614
35.0,4.4,Stormy,High,2,scooter,2.0,No,Urban,2022,3,28,11,30,11,25,33,1.558114851289754
37.0,4.7,Cloudy,Medium,0,motorcycle,1.0,No,,2022,3,23,18,30,18,20,44,17.097896810816284
21.0,5.0,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,2022,4,2,18,35,18,20,25,19.76009151967568
35.0,4.7,Cloudy,Low,1,scooter,1.0,No,Urban,2022,3,13,19,35,10,45,18,2.9794951426843785
30.0,4.5,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,20,23,55,23,40,21,19.618739348801014
29.0,4.8,Windy,Medium,2,motorcycle,1.0,No,Metropolitian,2022,3,17,18,25,18,20,26,9.193520993944183
,,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,8,20,50,20,45,25,13.968842021961056
21.0,4.8,Sandstorms,Jam,2,scooter,,No,Metropolitian,2022,4,6,22,5,21,55,16,10.867352908691128
37.0,4.0,Stormy,Jam,0,motorcycle,3.0,No,Metropolitian,2022,3,12,21,30,21,20,54,13.611585111772158
26.0,4.7,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,2022,2,16,17,25,17,10,24,12.209740515439856
24.0,4.5,Cloudy,Medium,1,scooter,0.0,No,Metropolitian,2022,3,16,17,20,17,10,28,16.6594405791231
27.0,4.6,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,23,22,25,22,20,16,20.851862908260973
,,Fog,Medium,2,motorcycle,1.0,No,Metropolitian,2022,2,16,18,35,19,35,34,16.980632584392957
21.0,5.0,Windy,Medium,1,scooter,1.0,No,Metropolitian,2022,3,16,17,45,17,35,26,14.15280068944862
,,,,2,motorcycle,1.0,No,Metropolitian,2022,3,7,11,45,19,35,33,1.5294841760997977
22.0,4.7,Cloudy,Medium,0,motorcycle,0.0,No,Metropolitian,2022,3,15,16,20,16,10,21,5.958847028253639
38.0,4.8,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,24,18,25,18,10,29,7.658776111980611
37.0,4.2,Windy,Medium,0,motorcycle,2.0,No,Metropolitian,2022,3,31,17,45,17,30,45,13.611428630407849
39.0,4.8,Windy,Low,0,motorcycle,1.0,No,Urban,2022,2,16,19,35,19,35,20,11.00773476374462
34.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,2022,2,13,8,45,8,30,29,2.984510689263753
25.0,5.0,Cloudy,High,1,scooter,1.0,No,Urban,2022,3,17,12,10,19,35,32,1.5525569843004512
27.0,4.7,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,2022,4,3,21,45,21,30,29,7.76260023979039
23.0,5.0,Sunny,Low,1,scooter,0.0,No,Urban,2022,3,21,10,35,10,30,17,1.5125654463644045
31.0,4.8,Windy,Low,0,motorcycle,1.0,No,Metropolitian,2022,2,16,23,40,23,30,23,10.683783113047896
24.0,5.0,Cloudy,Jam,2,scooter,2.0,No,Metropolitian,2022,3,15,21,55,21,40,34,9.075387359616569
33.0,4.6,Sunny,Jam,1,scooter,1.0,No,Metropolitian,2022,3,12,20,50,20,40,20,16.81997876421149
38.0,4.5,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,8,18,25,18,10,29,10.564540523828974
25.0,4.5,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,7,19,35,19,20,11,7.60180033473793
,,Sandstorms,Jam,1,scooter,1.0,No,Metropolitian,2022,2,16,21,25,19,35,34,16.982276917763187
22.0,4.6,Stormy,Medium,2,scooter,1.0,No,Urban,2022,3,1,18,40,18,25,22,4.663545220952835
27.0,4.6,Sandstorms,Low,2,scooter,0.0,No,Metropolitian,2022,4,3,23,55,23,40,12,4.528282400326011
22.0,4.6,Windy,Jam,2,motorcycle,1.0,No,Metropolitian,2022,3,21,19,35,19,55,15,9.074744674241003
21.0,4.6,Sandstorms,Medium,2,electric_scooter,0.0,No,Metropolitian,2022,3,17,15,30,15,15,26,6.217851597564986
21.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Urban,2022,4,3,18,10,17,55,28,7.562108717550266
38.0,4.6,Windy,Jam,2,motorcycle,0.0,No,Metropolitian,2022,4,5,22,5,21,50,25,7.60180033473793
22.0,4.9,Stormy,Low,1,motorcycle,0.0,No,Metropolitian,2022,3,12,22,40,22,30,13,13.61385032584042
24.0,4.4,Cloudy,Medium,1,motorcycle,0.0,No,Metropolitian,2022,3,10,17,55,17,40,32,10.56459693415822
22.0,4.9,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,12,17,30,17,15,32,10.866215152975023
32.0,4.6,Cloudy,Jam,2,electric_scooter,1.0,No,Urban,2022,2,16,19,45,19,35,40,16.47614437887885
21.0,4.8,Sunny,Medium,1,motorcycle,0.0,No,Urban,2022,3,19,16,50,16,45,12,6.210145663324764
28.0,4.7,Sunny,Medium,0,motorcycle,0.0,No,Metropolitian,2022,3,9,19,35,15,45,21,6.117761953594232
29.0,4.6,Sunny,Medium,0,motorcycle,,No,Metropolitian,2022,3,3,15,15,15,10,17,6.147092755626801
33.0,4.9,Fog,Jam,1,motorcycle,0.0,No,Urban,2022,2,17,20,25,20,15,30,4.717601092054723
25.0,4.6,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,4,2,20,55,20,50,26,19.36320422209685
34.0,4.1,Windy,Jam,1,scooter,1.0,No,Metropolitian,2022,3,20,21,35,21,20,39,19.88336063154585
21.0,4.7,Windy,High,2,electric_scooter,1.0,No,Metropolitian,2022,3,7,19,35,14,45,19,6.232373004507649
37.0,4.3,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,11,22,45,22,35,23,4.6576255671472415
,,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,4,17,25,19,35,32,12.419572625827143
26.0,4.1,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,14,18,10,19,35,31,12.58026782240096
34.0,4.9,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,2022,4,4,18,35,18,30,35,17.076712975302453
28.0,4.6,Windy,Low,2,scooter,1.0,No,Urban,2022,4,3,9,45,9,40,19,1.5368334425195926
35.0,3.7,Cloudy,Low,1,motorcycle,0.0,No,Metropolitian,2022,3,27,19,35,23,50,37,16.8253834049009
30.0,4.7,Sandstorms,Jam,0,motorcycle,1.0,No,Semi-Urban,2022,3,20,21,35,21,30,54,16.901690663165983
20.0,4.6,Cloudy,Medium,1,scooter,0.0,No,Metropolitian,2022,3,1,15,30,15,15,17,6.128363939648455
25.0,4.6,Windy,Low,1,motorcycle,1.0,No,Urban,2022,2,15,8,30,8,15,17,3.0877926036871326
22.0,4.9,Stormy,Jam,1,motorcycle,1.0,No,Urban,2022,2,18,20,45,20,35,17,12.35111871730461
29.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,2022,3,17,10,40,10,35,27,1.5523012503298028
20.0,4.7,Cloudy,Low,2,electric_scooter,0.0,No,Metropolitian,2022,3,28,10,10,9,55,17,3.145067434621583
39.0,4.5,Sunny,High,1,motorcycle,1.0,No,Metropolitian,2022,3,17,11,40,11,30,19,3.064398872055142
33.0,4.8,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,2022,2,16,21,15,21,10,26,12.080074675503631
20.0,4.3,Cloudy,Jam,2,scooter,0.0,No,Metropolitian,2022,3,27,20,45,20,35,41,19.76027880154466
20.0,4.6,Stormy,Low,1,motorcycle,0.0,No,Metropolitian,2022,3,12,22,50,22,35,14,20.253584375809144
26.0,4.8,Fog,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,9,22,50,22,45,16,4.5877613789702085
35.0,4.7,Sandstorms,Jam,0,motorcycle,1.0,Yes,Semi-Urban,2022,4,6,19,35,19,20,52,19.362740471251666
23.0,4.8,Cloudy,Low,1,motorcycle,0.0,No,Metropolitian,2022,4,5,23,5,22,50,19,7.601876617115989
23.0,4.2,Windy,Medium,0,motorcycle,0.0,No,Metropolitian,2022,3,16,18,50,18,40,34,11.00773476374462
28.0,4.7,Cloudy,Low,2,scooter,1.0,No,Metropolitian,2022,3,25,23,35,23,20,21,13.97194896017493
33.0,4.8,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,2022,3,14,19,35,23,55,23,20.253258047708663
38.0,4.3,Stormy,Medium,2,scooter,1.0,No,Metropolitian,2022,3,1,18,40,18,30,32,9.08800511371514
32.0,4.6,Sandstorms,Jam,1,scooter,1.0,No,Metropolitian,2022,3,25,20,35,20,25,25,20.851771383105145
30.0,4.6,Sandstorms,Jam,1,scooter,1.0,No,Metropolitian,2022,3,4,22,5,21,50,28,10.906324615073055
26.0,5.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,18,19,25,19,10,34,17.16659103781352
33.0,5.0,Sandstorms,Medium,1,motorcycle,0.0,No,Metropolitian,2022,3,19,17,45,17,30,28,7.546676276224336
35.0,4.7,Fog,Jam,0,motorcycle,1.0,No,Urban,2022,3,30,21,15,21,10,25,4.6576549370601725
29.0,4.1,Sunny,High,0,motorcycle,2.0,No,Metropolitian,2022,3,5,12,45,12,30,43,5.959018323622379
31.0,4.6,Stormy,High,0,motorcycle,2.0,No,Metropolitian,2022,4,5,12,30,12,15,36,6.232303380306801
37.0,4.6,Fog,Medium,1,motorcycle,2.0,No,Metropolitian,2022,3,10,18,5,17,55,37,16.824772113250837
30.0,4.9,Sandstorms,Low,2,scooter,1.0,No,Metropolitian,2022,3,2,19,35,23,55,23,14.15280068944862
34.0,4.8,Stormy,Low,1,scooter,1.0,No,Metropolitian,2022,2,16,23,5,19,35,24,19.67143272567644
27.0,4.7,Sandstorms,High,2,motorcycle,1.0,No,Metropolitian,2022,3,13,11,50,11,40,28,1.5367917694809952
,,,,3,electric_scooter,1.0,No,Metropolitian,2022,4,3,19,35,19,35,25,6.290134677634678
23.0,4.5,Fog,High,2,scooter,1.0,No,Urban,2022,2,17,14,50,14,45,22,6.181400210650747
21.0,5.0,Sandstorms,Medium,2,scooter,0.0,No,Metropolitian,2022,3,16,19,35,18,50,15,16.827953238536708
23.0,4.4,Fog,High,2,motorcycle,1.0,No,Metropolitian,2022,2,17,11,25,11,20,31,2.984566468606181
21.0,4.7,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,4,1,17,45,17,30,15,7.601245065529116
29.0,4.6,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,2022,4,3,11,5,10,50,17,3.1162419915691597
31.0,4.1,Cloudy,Jam,2,electric_scooter,1.0,No,Metropolitian,2022,4,6,22,10,19,35,46,16.825674553493343
38.0,5.0,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,2022,3,16,21,20,21,10,44,10.881199561003374
36.0,4.9,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,23,19,50,19,40,38,13.970007989574006
34.0,4.8,Windy,High,1,motorcycle,1.0,No,Metropolitian,2022,3,24,15,5,19,35,30,6.208803959900089
32.0,4.9,Windy,Low,2,electric_scooter,1.0,No,Metropolitian,2022,3,18,23,10,19,35,27,12.1610162189127
39.0,5.0,Windy,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,14,19,35,19,35,27,17.29786575291325
21.0,5.0,Sunny,Medium,2,scooter,0.0,No,Urban,2022,3,30,18,50,18,40,13,9.32728515796102
27.0,4.6,Fog,Low,2,motorcycle,1.0,No,,2022,3,30,22,35,22,25,16,7.862668167410368
20.0,4.6,Stormy,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,10,17,35,17,20,24,13.584306064167167
37.0,4.5,Cloudy,Jam,0,motorcycle,0.0,Yes,Urban,2022,3,23,21,45,21,30,45,19.915135664660596
22.0,4.9,Stormy,Jam,0,motorcycle,0.0,No,Metropolitian,2022,3,2,21,15,19,35,25,10.42999110860193
22.0,5.0,Stormy,Jam,2,scooter,1.0,No,Urban,2022,3,12,19,55,19,40,24,12.42075039087061
29.0,4.7,Fog,Jam,0,motorcycle,3.0,Yes,Metropolitian,2022,4,4,20,55,20,50,48,10.709003371535417
,,,,3,electric_scooter,1.0,No,Metropolitian,2022,3,21,20,55,19,35,20,16563.52774439321
34.0,4.7,Fog,High,0,motorcycle,1.0,No,Urban,2022,2,17,14,20,14,15,27,5.992261339612392
21.0,4.7,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,14,20,55,20,45,35,12.160999124282084
37.0,4.8,Sunny,Low,1,scooter,0.0,No,Metropolitian,2022,3,24,19,35,19,35,17,7.546781220484458
28.0,4.9,Fog,Low,0,motorcycle,1.0,No,Metropolitian,2022,2,15,10,35,10,25,21,1.498111285910988
33.0,4.8,Cloudy,High,2,scooter,1.0,No,Metropolitian,2022,3,17,15,10,14,55,25,5.959019072169318
35.0,4.7,Fog,Jam,2,electric_scooter,1.0,No,Metropolitian,2022,3,16,19,35,19,25,37,20.85246332426527
36.0,4.7,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,9,19,10,18,55,22,7.763183552897837
29.0,4.7,Fog,Low,2,scooter,1.0,No,Urban,2022,4,5,19,35,8,45,19,3.1053699758611546
22.0,4.7,Sunny,Jam,2,scooter,1.0,No,Metropolitian,2022,3,29,19,35,20,55,24,19.97436311932321
37.0,4.9,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,2022,3,3,21,10,20,55,27,9.31283846749211
26.0,4.0,Cloudy,Jam,1,motorcycle,3.0,No,Urban,2022,3,8,22,10,19,35,43,20.851771383105145
25.0,4.9,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,2022,3,10,19,35,19,35,24,10.757536302641864
37.0,4.7,Stormy,Jam,1,motorcycle,1.0,No,Metropolitian,2022,4,1,21,20,21,10,29,7.66095172081025
31.0,4.9,Cloudy,Medium,2,motorcycle,0.0,No,Metropolitian,2022,3,29,18,30,18,25,37,20.206260324074304
38.0,4.3,Sunny,Jam,2,scooter,1.0,No,Metropolitian,2022,4,6,20,30,20,15,34,10.56512884564776
30.0,4.6,Windy,Low,1,motorcycle,0.0,No,Metropolitian,2022,3,18,22,30,22,25,19,16.81997876421149
27.0,4.7,Cloudy,Jam,0,motorcycle,0.0,No,Urban,2022,3,21,20,30,20,15,28,9.193469879776632
22.0,4.4,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,4,20,40,20,35,35,17.137414711878986
30.0,4.8,Fog,High,2,scooter,1.0,No,Metropolitian,2022,3,7,11,35,11,30,33,3.1162384958431986
26.0,4.8,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,2022,3,10,20,5,19,35,37,12.417487520918897
33.0,4.6,Windy,Low,1,scooter,1.0,No,Metropolitian,2022,2,15,9,15,19,35,23,1.4651897895461057
20.0,4.9,Stormy,Low,2,motorcycle,1.0,No,Metropolitian,2022,4,3,9,20,9,10,17,1.5124736191451338
21.0,5.0,Stormy,Medium,1,motorcycle,0.0,No,Metropolitian,2022,2,13,17,15,19,35,24,6.041062443678428
39.0,4.8,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,2022,2,17,8,55,8,50,29,1.4883409409467787
23.0,4.7,Cloudy,Medium,2,electric_scooter,0.0,No,Urban,2022,3,7,18,40,18,25,16,7.7626058902454
37.0,4.9,Windy,Low,1,scooter,1.0,No,Metropolitian,2022,3,4,22,20,22,15,21,13.407238587856966
36.0,4.6,Stormy,Low,1,scooter,0.0,No,Metropolitian,2022,2,13,19,35,23,50,24,7.862668167410368
29.0,4.7,Windy,Jam,1,motorcycle,0.0,No,Urban,2022,4,3,21,55,21,40,10,4.657153007152837
26.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Metropolitian,2022,2,17,22,10,21,55,26,9.264201245331764
22.0,4.8,Cloudy,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,25,21,35,21,30,32,10.725127399399224
28.0,3.4,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,18,19,35,23,55,33,13.972191759503003
31.0,4.7,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,2022,3,21,19,25,19,10,30,4.469362226704516
29.0,4.6,Fog,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,9,10,20,10,15,19,2.979500008381943
23.0,4.7,Windy,Low,1,motorcycle,0.0,No,Urban,2022,2,15,23,45,23,35,11,8.98773907634356
28.0,4.7,Windy,Jam,1,motorcycle,0.0,No,Urban,2022,2,18,20,50,20,40,24,19.628127535448083
30.0,4.3,Cloudy,High,2,motorcycle,1.0,No,Metropolitian,2022,3,30,14,35,14,30,38,6.147092755626801
23.0,4.5,Fog,Medium,0,motorcycle,1.0,No,Urban,2022,3,3,15,20,15,10,22,6.049968949184032
37.0,5.0,Stormy,Jam,1,motorcycle,1.0,No,Metropolitian,2022,3,24,20,40,20,35,25,4.469362226704516
27.0,4.6,Stormy,Jam,2,motorcycle,1.0,No,Metropolitian,2022,2,17,21,25,21,15,24,9.435201537430713
27.0,4.6,Sandstorms,Low,1,scooter,0.0,No,Urban,2022,2,13,11,15,19,35,12,2.9303798276290447
25.0,4.2,Windy,Jam,0,motorcycle,0.0,No,Metropolitian,2022,3,31,21,20,21,15,39,10.867908640310418
27.0,4.9,Stormy,Jam,2,scooter,1.0,No,Urban,2022,4,3,21,40,21,25,21,9.315024038998043
36.0,4.6,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,26,17,30,17,20,28,9.077679565695693
26.0,4.9,Cloudy,High,2,scooter,0.0,No,Urban,2022,4,1,12,35,12,20,28,6.210106489026999
31.0,4.8,Cloudy,Medium,1,scooter,0.0,No,Urban,2022,3,19,19,35,15,55,16,6.128804224238058
24.0,4.7,Windy,Low,2,scooter,1.0,No,Urban,2022,2,11,19,35,23,50,16,4425.807394160312
28.0,4.7,Sunny,Medium,0,motorcycle,,No,,2022,3,17,18,50,18,35,22,9.219708856174128
30.0,4.7,Sunny,Medium,1,scooter,0.0,No,Metropolitian,2022,4,3,16,25,16,15,22,6.2323920207909005
37.0,4.6,Sunny,Medium,2,scooter,0.0,No,Urban,2022,3,4,17,25,17,10,27,16.902909983695867
34.0,4.1,Windy,High,0,motorcycle,1.0,No,Metropolitian,2022,3,26,13,50,13,45,33,6.11924534302912
33.0,4.7,Windy,Low,1,scooter,1.0,No,Urban,2022,3,1,23,50,23,35,22,9.348109676504626
35.0,4.7,Cloudy,Jam,0,motorcycle,2.0,No,Metropolitian,2022,3,12,19,50,19,40,51,20.205788522337425
21.0,4.9,Windy,Jam,1,scooter,1.0,No,Urban,2022,4,3,19,35,20,45,26,9.17860595704086
21.0,4.9,Windy,Low,0,motorcycle,0.0,No,Urban,2022,3,23,22,30,22,20,18,20.178893713604637
35.0,4.3,Sandstorms,Jam,2,motorcycle,1.0,No,Metropolitian,2022,3,7,19,55,19,40,33,7.546401421474661
31.0,4.7,Sunny,Medium,2,scooter,0.0,No,Metropolitian,2022,3,5,19,35,17,50,15,9.314907489514155
38.0,3.6,Sandstorms,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,6,17,25,17,10,35,20.85227883430363
37.0,4.9,Fog,High,0,motorcycle,1.0,No,Metropolitian,2022,4,3,13,30,13,15,26,5.959032639454782
30.0,4.6,Sunny,Low,1,scooter,1.0,No,Metropolitian,2022,3,6,23,15,23,10,21,16.901828274275406
33.0,4.2,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,5,20,30,20,15,31,7.763485791200292
36.0,4.1,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,16,20,50,20,45,50,19.88997830374344
34.0,4.6,Fog,Jam,0,motorcycle,2.0,No,Metropolitian,2022,4,5,19,40,19,35,34,9.181146899051036
20.0,4.7,Windy,Medium,1,scooter,1.0,No,Metropolitian,2022,3,21,17,30,17,20,22,4.528225009313327
32.0,4.7,Sunny,High,2,scooter,1.0,No,Urban,2022,3,17,12,15,19,35,16,1.5725337292863206
32.0,5.0,Stormy,Jam,0,motorcycle,0.0,Yes,Metropolitian,2022,3,19,19,30,19,25,47,9.121874253616898
22.0,4.2,Fog,Jam,2,scooter,1.0,No,Metropolitian,2022,4,4,19,35,19,45,42,10.602450942886511
